Dex,Pokemon,Chance,Chance percentage
63,Abra,1/225,0.4449%
304,Aron,1/225,0.4449%
610,Axew,1/225,0.4449%
69,Bellsprout,1/225,0.4449%
824,Blipbug,1/225,0.4449%
962,Bombirdier,1/225,0.4449%
761,Bounsweet,1/225,0.4449%
946,Bramblin,1/225,0.4449%
951,Capsakid,1/225,0.4449%
10,Caterpie,1/225,0.4449%
974,Cetoddle,1/225,0.4449%
935,Charcadet,1/225,0.4449%
977,Dondozo,1/225,0.4449%
885,Dreepy,1/225,0.4449%
355,Duskull,1/225,0.4449%
926,Fidough,1/225,0.4449%
963,Finizen,1/225,0.4449%
973,Flamigo,1/225,0.4449%
661,Fletchling,1/225,0.4449%
955,Flittle,1/225,0.4449%
996,Frigibax,1/225,0.4449%
92,Gastly,1/225,0.4449%
74,Geodude,1/225,0.4449%
999,Gimmighoul,1/225,0.4449%
969,Glimmet,1/225,0.4449%
574,Gothita,1/225,0.4449%
971,Greavard,1/225,0.4449%
736,Grubbin,1/225,0.4449%
856,Hatenna,1/225,0.4449%
679,Honedge,1/225,0.4449%
187,Hoppip,1/225,0.4449%
116,Horsea,1/225,0.4449%
859,Impidimp,1/225,0.4449%
950,Klawf,1/225,0.4449%
599,Klink,1/225,0.4449%
915,Lechonk,1/225,0.4449%
506,Lillipup,1/225,0.4449%
607,Litwick,1/225,0.4449%
270,Lotad,1/225,0.4449%
66,Machop,1/225,0.4449%
81,Magnemite,1/225,0.4449%
179,Mareep,1/225,0.4449%
942,Maschiff,1/225,0.4449%
932,Nacli,1/225,0.4449%
29,Nidoran♀️,1/225,0.4449%
32,Nidoran♂️,1/225,0.4449%
919,Nymble,1/225,0.4449%
43,Oddish,1/225,0.4449%
968,Orthworm,1/225,0.4449%
921,Pawmi,1/225,0.4449%
16,Pidgey,1/225,0.4449%
519,Pidove,1/225,0.4449%
731,Pikipek,1/225,0.4449%
60,Poliwag,1/225,0.4449%
137,Porygon,1/225,0.4449%
280,Ralts,1/225,0.4449%
953,Rellor,1/225,0.4449%
111,Rhyhorn,1/225,0.4449%
524,Roggenrola,1/225,0.4449%
837,Rolycoly,1/225,0.4449%
821,Rookidee,1/225,0.4449%
551,Sandile,1/225,0.4449%
664,Scatterbug,1/225,0.4449%
273,Seedot,1/225,0.4449%
540,Sewaddle,1/225,0.4449%
403,Shinx,1/225,0.4449%
944,Shroodle,1/225,0.4449%
287,Slakoth,1/225,0.4449%
928,Smoliv,1/225,0.4449%
577,Solosis,1/225,0.4449%
363,Spheal,1/225,0.4449%
396,Starly,1/225,0.4449%
220,Swinub,1/225,0.4449%
938,Tadbulb,1/225,0.4449%
924,Tandemaus,1/225,0.4449%
917,Tarountula,1/225,0.4449%
216,Teddiursa,1/225,0.4449%
532,Timburr,1/225,0.4449%
957,Tinkatink,1/225,0.4449%
948,Toedscool,1/225,0.4449%
175,Togepi,1/225,0.4449%
328,Trapinch,1/225,0.4449%
535,Tympole,1/225,0.4449%
602,Tynamo,1/225,0.4449%
582,Vanillite,1/225,0.4449%
965,Varoom,1/225,0.4449%
976,Veluza,1/225,0.4449%
543,Venipede,1/225,0.4449%
940,Wattrel,1/225,0.4449%
13,Weedle,1/225,0.4449%
293,Whismur,1/225,0.4449%
960,Wiglett,1/225,0.4449%
265,Wurmple,1/225,0.4449%
41,Zubat,1/225,0.4449%
371,Bagon,1/337,0.2966%
374,Beldum,1/337,0.2966%
633,Deino,1/337,0.2966%
147,Dratini,1/337,0.2966%
443,Gible,1/337,0.2966%
704,Goomy,1/337,0.2966%
782,Jangmo-o,1/337,0.2966%
246,Larvitar,1/337,0.2966%
19,Rattata,1/337,0.2966%
10263,Roaming Gimmighoul,1/337,0.2966%
20003,Battle Cyclizar,1/674,0.1483%
1,Bulbasaur,1/674,0.1483%
4,Charmander,1/674,0.1483%
650,Chespin,1/674,0.1483%
152,Chikorita,1/674,0.1483%
390,Chimchar,1/674,0.1483%
967,Cyclizar,1/674,0.1483%
155,Cyndaquil,1/674,0.1483%
10258,Droopy Tatsugiri,1/674,0.1483%
653,Fennekin,1/674,0.1483%
656,Froakie,1/674,0.1483%
909,Fuecoco,1/674,0.1483%
810,Grookey,1/674,0.1483%
725,Litten,1/674,0.1483%
258,Mudkip,1/674,0.1483%
501,Oshawott,1/674,0.1483%
393,Piplup,1/674,0.1483%
728,Popplio,1/674,0.1483%
912,Quaxly,1/674,0.1483%
20004,Ride Cyclizar,1/674,0.1483%
722,Rowlet,1/674,0.1483%
813,Scorbunny,1/674,0.1483%
495,Snivy,1/674,0.1483%
816,Sobble,1/674,0.1483%
906,Sprigatito,1/674,0.1483%
7,Squirtle,1/674,0.1483%
10259,Stretchy Tatsugiri,1/674,0.1483%
978,Tatsugiri,1/674,0.1483%
498,Tepig,1/674,0.1483%
255,Torchic,1/674,0.1483%
158,Totodile,1/674,0.1483%
252,Treecko,1/674,0.1483%
387,Turtwig,1/674,0.1483%
190,Aipom,1/899,0.1112%
698,Amaura,1/899,0.1112%
347,Anorith,1/899,0.1112%
840,Applin,1/899,0.1112%
566,Archen,1/899,0.1112%
997,Arctibax,1/899,0.1112%
936,Armarouge,1/899,0.1112%
846,Arrokuda,1/899,0.1112%
10341,Autumn Deerling,1/899,0.1112%
343,Baltoy,1/899,0.1112%
339,Barboach,1/899,0.1112%
153,Bayleef,1/899,0.1112%
939,Bellibolt,1/899,0.1112%
712,Bergmite,1/899,0.1112%
399,Bidoof,1/899,0.1112%
688,Binacle,1/899,0.1112%
522,Blitzle,1/899,0.1112%
10260,Blue Plumage Squawkabilly,1/899,0.1112%
525,Boldore,1/899,0.1112%
654,Braixen,1/899,0.1112%
947,Brambleghast,1/899,0.1112%
729,Brionne,1/899,0.1112%
436,Bronzor,1/899,0.1112%
418,Buizel,1/899,0.1112%
427,Buneary,1/899,0.1112%
659,Bunnelby,1/899,0.1112%
331,Cacnea,1/899,0.1112%
838,Carkol,1/899,0.1112%
318,Carvanha,1/899,0.1112%
268,Cascoon,1/899,0.1112%
937,Ceruledge,1/899,0.1112%
975,Cetitan,1/899,0.1112%
113,Chansey,1/899,0.1112%
737,Charjabug,1/899,0.1112%
420,Cherubi,1/899,0.1112%
833,Chewtle,1/899,0.1112%
170,Chinchou,1/899,0.1112%
366,Clamperl,1/899,0.1112%
692,Clauncher,1/899,0.1112%
35,Clefairy,1/899,0.1112%
852,Clobbopus,1/899,0.1112%
980,Clodsire,1/899,0.1112%
415,Combee,1/899,0.1112%
256,Combusken,1/899,0.1112%
341,Corphish,1/899,0.1112%
822,Corvisquire,1/899,0.1112%
546,Cottonee,1/899,0.1112%
739,Crabrawler,1/899,0.1112%
408,Cranidos,1/899,0.1112%
453,Croagunk,1/899,0.1112%
159,Croconaw,1/899,0.1112%
613,Cubchoo,1/899,0.1112%
104,Cubone,1/899,0.1112%
878,Cufant,1/899,0.1112%
742,Cutiefly,1/899,0.1112%
927,Dachsbun,1/899,0.1112%
723,Dartrix,1/899,0.1112%
554,Darumaka,1/899,0.1112%
585,Deerling,1/899,0.1112%
502,Dewott,1/899,0.1112%
751,Dewpider,1/899,0.1112%
50,Diglett,1/899,0.1112%
84,Doduo,1/899,0.1112%
929,Dolliv,1/899,0.1112%
825,Dottler,1/899,0.1112%
680,Doublade,1/899,0.1112%
886,Drakloak,1/899,0.1112%
425,Drifloon,1/899,0.1112%
529,Drilbur,1/899,0.1112%
817,Drizzile,1/899,0.1112%
96,Drowzee,1/899,0.1112%
580,Ducklett,1/899,0.1112%
982,Dudunsparce,1/899,0.1112%
578,Duosion,1/899,0.1112%
356,Dusclops,1/899,0.1112%
557,Dwebble,1/899,0.1112%
10319,East Sea Shellos,1/899,0.1112%
603,Eelektrik,1/899,0.1112%
133,Eevee,1/899,0.1112%
23,Ekans,1/899,0.1112%
125,Electabuzz,1/899,0.1112%
309,Electrike,1/899,0.1112%
605,Elgyem,1/899,0.1112%
956,Espathra,1/899,0.1112%
677,Espurr,1/899,0.1112%
102,Exeggcute,1/899,0.1112%
981,Farigiraf,1/899,0.1112%
349,Feebas,1/899,0.1112%
597,Ferroseed,1/899,0.1112%
456,Finneon,1/899,0.1112%
180,Flaaffy,1/899,0.1112%
662,Fletchinder,1/899,0.1112%
753,Fomantis,1/899,0.1112%
590,Foongus,1/899,0.1112%
611,Fraxure,1/899,0.1112%
592,Frillish,1/899,0.1112%
657,Frogadier,1/899,0.1112%
1000,Gholdengo,1/899,0.1112%
431,Glameow,1/899,0.1112%
207,Gligar,1/899,0.1112%
970,Glimmora,1/899,0.1112%
44,Gloom,1/899,0.1112%
42,Golbat,1/899,0.1112%
118,Goldeen,1/899,0.1112%
622,Golett,1/899,0.1112%
829,Gossifleur,1/899,0.1112%
575,Gothorita,1/899,0.1112%
945,Grafaiai,1/899,0.1112%
75,Graveler,1/899,0.1112%
88,Grimer,1/899,0.1112%
388,Grotle,1/899,0.1112%
253,Grovyle,1/899,0.1112%
58,Growlithe,1/899,0.1112%
316,Gulpin,1/899,0.1112%
533,Gurdurr,1/899,0.1112%
857,Hattrem,1/899,0.1112%
93,Haunter,1/899,0.1112%
694,Helioptile,1/899,0.1112%
507,Herdier,1/899,0.1112%
449,Hippopotas,1/899,0.1112%
163,Hoothoot,1/899,0.1112%
228,Houndour,1/899,0.1112%
972,Houndstone,1/899,0.1112%
686,Inkay,1/899,0.1112%
39,Jigglypuff,1/899,0.1112%
595,Joltik,1/899,0.1112%
140,Kabuto,1/899,0.1112%
64,Kadabra,1/899,0.1112%
14,Kakuna,1/899,0.1112%
588,Karrablast,1/899,0.1112%
941,Kilowattrel,1/899,0.1112%
281,Kirlia,1/899,0.1112%
600,Klang,1/899,0.1112%
109,Koffing,1/899,0.1112%
98,Krabby,1/899,0.1112%
401,Kricketot,1/899,0.1112%
552,Krokorok,1/899,0.1112%
305,Lairon,1/899,0.1112%
608,Lampent,1/899,0.1112%
636,Larvesta,1/899,0.1112%
165,Ledyba,1/899,0.1112%
108,Lickitung,1/899,0.1112%
345,Lileep,1/899,0.1112%
667,Litleo,1/899,0.1112%
920,Lokix,1/899,0.1112%
271,Lombre,1/899,0.1112%
294,Loudred,1/899,0.1112%
404,Luxio,1/899,0.1112%
943,Mabosstiff,1/899,0.1112%
67,Machoke,1/899,0.1112%
129,Magikarp,1/899,0.1112%
126,Magmar,1/899,0.1112%
82,Magneton,1/899,0.1112%
296,Makuhita,1/899,0.1112%
56,Mankey,1/899,0.1112%
747,Mareanie,1/899,0.1112%
183,Marill,1/899,0.1112%
259,Marshtomp,1/899,0.1112%
925,Maushold,1/899,0.1112%
307,Meditite,1/899,0.1112%
52,Meowth,1/899,0.1112%
11,Metapod,1/899,0.1112%
619,Mienfoo,1/899,0.1112%
868,Milcery,1/899,0.1112%
572,Minccino,1/899,0.1112%
200,Misdreavus,1/899,0.1112%
391,Monferno,1/899,0.1112%
755,Morelull,1/899,0.1112%
860,Morgrem,1/899,0.1112%
749,Mudbray,1/899,0.1112%
517,Munna,1/899,0.1112%
198,Murkrow,1/899,0.1112%
933,Naclstack,1/899,0.1112%
177,Natu,1/899,0.1112%
827,Nickit,1/899,0.1112%
30,Nidorina,1/899,0.1112%
33,Nidorino,1/899,0.1112%
290,Nincada,1/899,0.1112%
714,Noibat,1/899,0.1112%
299,Nosepass,1/899,0.1112%
322,Numel,1/899,0.1112%
274,Nuzleaf,1/899,0.1112%
916,Oinkologne,1/899,0.1112%
138,Omanyte,1/899,0.1112%
95,Onix,1/899,0.1112%
964,Palafin,1/899,0.1112%
536,Palpitoad,1/899,0.1112%
674,Pancham,1/899,0.1112%
515,Panpour,1/899,0.1112%
511,Pansage,1/899,0.1112%
513,Pansear,1/899,0.1112%
46,Paras,1/899,0.1112%
504,Patrat,1/899,0.1112%
922,Pawmo,1/899,0.1112%
624,Pawniard,1/899,0.1112%
548,Petilil,1/899,0.1112%
231,Phanpy,1/899,0.1112%
708,Phantump,1/899,0.1112%
17,Pidgeotto,1/899,0.1112%
499,Pignite,1/899,0.1112%
25,Pikachu,1/899,0.1112%
221,Piloswine,1/899,0.1112%
204,Pineco,1/899,0.1112%
61,Poliwhirl,1/899,0.1112%
77,Ponyta,1/899,0.1112%
261,Poochyena,1/899,0.1112%
233,Porygon2,1/899,0.1112%
394,Prinplup,1/899,0.1112%
54,Psyduck,1/899,0.1112%
710,Pumpkaboo,1/899,0.1112%
509,Purrloin,1/899,0.1112%
156,Quilava,1/899,0.1112%
651,Quilladin,1/899,0.1112%
814,Raboot,1/899,0.1112%
954,Rabsca,1/899,0.1112%
223,Remoraid,1/899,0.1112%
966,Revavroom,1/899,0.1112%
112,Rhydon,1/899,0.1112%
447,Riolu,1/899,0.1112%
744,Rockruff,1/899,0.1112%
315,Roselia,1/899,0.1112%
627,Rufflet,1/899,0.1112%
757,Salandit,1/899,0.1112%
27,Sandshrew,1/899,0.1112%
769,Sandygast,1/899,0.1112%
952,Scovillain,1/899,0.1112%
559,Scraggy,1/899,0.1112%
123,Scyther,1/899,0.1112%
117,Seadra,1/899,0.1112%
364,Sealeo,1/899,0.1112%
86,Seel,1/899,0.1112%
161,Sentret,1/899,0.1112%
496,Servine,1/899,0.1112%
90,Shellder,1/899,0.1112%
422,Shellos,1/899,0.1112%
616,Shelmet,1/899,0.1112%
410,Shieldon,1/899,0.1112%
285,Shroomish,1/899,0.1112%
353,Shuppet,1/899,0.1112%
266,Silcoon,1/899,0.1112%
843,Silicobra,1/899,0.1112%
854,Sinistea,1/899,0.1112%
850,Sizzlipede,1/899,0.1112%
672,Skiddo,1/899,0.1112%
188,Skiploom,1/899,0.1112%
300,Skitty,1/899,0.1112%
451,Skorupi,1/899,0.1112%
690,Skrelp,1/899,0.1112%
819,Skwovet,1/899,0.1112%
79,Slowpoke,1/899,0.1112%
218,Slugma,1/899,0.1112%
215,Sneasel,1/899,0.1112%
872,Snom,1/899,0.1112%
361,Snorunt,1/899,0.1112%
459,Snover,1/899,0.1112%
209,Snubbull,1/899,0.1112%
21,Spearow,1/899,0.1112%
665,Spewpa,1/899,0.1112%
918,Spidops,1/899,0.1112%
167,Spinarak,1/899,0.1112%
325,Spoink,1/899,0.1112%
682,Spritzee,1/899,0.1112%
931,Squawkabilly,1/899,0.1112%
234,Stantler,1/899,0.1112%
397,Staravia,1/899,0.1112%
120,Staryu,1/899,0.1112%
762,Steenee,1/899,0.1112%
759,Stufful,1/899,0.1112%
434,Stunky,1/899,0.1112%
10340,Summer Deerling,1/899,0.1112%
191,Sunkern,1/899,0.1112%
283,Surskit,1/899,0.1112%
333,Swablu,1/899,0.1112%
541,Swadloon,1/899,0.1112%
684,Swirlix,1/899,0.1112%
276,Taillow,1/899,0.1112%
114,Tangela,1/899,0.1112%
72,Tentacool,1/899,0.1112%
811,Thwackey,1/899,0.1112%
958,Tinkatuff,1/899,0.1112%
564,Tirtouga,1/899,0.1112%
949,Toedscruel,1/899,0.1112%
176,Togetic,1/899,0.1112%
726,Torracat,1/899,0.1112%
848,Toxel,1/899,0.1112%
520,Tranquill,1/899,0.1112%
568,Trubbish,1/899,0.1112%
732,Trumbeak,1/899,0.1112%
236,Tyrogue,1/899,0.1112%
696,Tyrunt,1/899,0.1112%
217,Ursaring,1/899,0.1112%
583,Vanillish,1/899,0.1112%
48,Venonat,1/899,0.1112%
329,Vibrava,1/899,0.1112%
288,Vigoroth,1/899,0.1112%
100,Voltorb,1/899,0.1112%
629,Vullaby,1/899,0.1112%
37,Vulpix,1/899,0.1112%
320,Wailmer,1/899,0.1112%
70,Weepinbell,1/899,0.1112%
544,Whirlipede,1/899,0.1112%
10262,White Plumage Squawkabilly,1/899,0.1112%
767,Wimpod,1/899,0.1112%
278,Wingull,1/899,0.1112%
10342,Winter Deerling,1/899,0.1112%
527,Woobat,1/899,0.1112%
831,Wooloo,1/899,0.1112%
194,Wooper,1/899,0.1112%
961,Wugtrio,1/899,0.1112%
562,Yamask,1/899,0.1112%
835,Yamper,1/899,0.1112%
193,Yanma,1/899,0.1112%
10261,Yellow Plumage Squawkabilly,1/899,0.1112%
734,Yungoos,1/899,0.1112%
263,Zigzagoon,1/899,0.1112%
570,Zorua,1/899,0.1112%
10307,Blue Flower Flabébé,1/1121,0.0892%
669,Flabébé,1/1121,0.0892%
10306,Orange Flower Flabébé,1/1121,0.0892%
10308,White Flower Flabébé,1/1121,0.0892%
10305,Yellow Flower Flabébé,1/1121,0.0892%
10152,Dusk Lycanroc,1/1199,0.0834%
745,Lycanroc,1/1199,0.0834%
10126,Midnight Lycanroc,1/1199,0.0834%
5,Charmeleon,1/1349,0.0742%
910,Crocalor,1/1349,0.0742%
148,Dragonair,1/1349,0.0742%
907,Floragato,1/1349,0.0742%
444,Gabite,1/1349,0.0742%
783,Hakamo-o,1/1349,0.0742%
2,Ivysaur,1/1349,0.0742%
375,Metang,1/1349,0.0742%
247,Pupitar,1/1349,0.0742%
913,Quaxwell,1/1349,0.0742%
20,Raticate,1/1349,0.0742%
372,Shelgon,1/1349,0.0742%
705,Sliggoo,1/1349,0.0742%
8,Wartortle,1/1349,0.0742%
634,Zweilous,1/1349,0.0742%
412,Burmy,1/2697,0.0371%
10452,Sandy Burmy,1/2697,0.0371%
10453,Trash Burmy,1/2697,0.0371%
460,Abomasnow,1/3596,0.0278%
359,Absol,1/3596,0.0278%
617,Accelgor,1/3596,0.0278%
681,Aegislash,1/3596,0.0278%
142,Aerodactyl,1/3596,0.0278%
306,Aggron,1/3596,0.0278%
65,Alakazam,1/3596,0.0278%
594,Alomomola,1/3596,0.0278%
334,Altaria,1/3596,0.0278%
424,Ambipom,1/3596,0.0278%
591,Amoonguss,1/3596,0.0278%
849,Amped Toxtricity,1/3596,0.0278%
181,Ampharos,1/3596,0.0278%
979,Annihilape,1/3596,0.0278%
842,Appletun,1/3596,0.0278%
752,Araquanid,1/3596,0.0278%
24,Arbok,1/3596,0.0278%
930,Arboliva,1/3596,0.0278%
59,Arcanine,1/3596,0.0278%
567,Archeops,1/3596,0.0278%
883,Arctovish,1/3596,0.0278%
881,Arctozolt,1/3596,0.0278%
168,Ariados,1/3596,0.0278%
348,Armaldo,1/3596,0.0278%
683,Aromatisse,1/3596,0.0278%
531,Audino,1/3596,0.0278%
699,Aurorus,1/3596,0.0278%
10344,Autumn Sawsbuck,1/3596,0.0278%
713,Avalugg,1/3596,0.0278%
184,Azumarill,1/3596,0.0278%
298,Azurill,1/3596,0.0278%
354,Banette,1/3596,0.0278%
689,Barbaracle,1/3596,0.0278%
847,Barraskewda,1/3596,0.0278%
550,Basculin,1/3596,0.0278%
411,Bastiodon,1/3596,0.0278%
998,Baxcalibur,1/3596,0.0278%
614,Beartic,1/3596,0.0278%
267,Beautifly,1/3596,0.0278%
15,Beedrill,1/3596,0.0278%
606,Beheeyem,1/3596,0.0278%
182,Bellossom,1/3596,0.0278%
760,Bewear,1/3596,0.0278%
400,Bibarel,1/3596,0.0278%
625,Bisharp,1/3596,0.0278%
9,Blastoise,1/3596,0.0278%
257,Blaziken,1/3596,0.0278%
242,Blissey,1/3596,0.0278%
10016,Blue-Striped Basculin,1/3596,0.0278%
836,Boltund,1/3596,0.0278%
438,Bonsly,1/3596,0.0278%
626,Bouffalant,1/3596,0.0278%
628,Braviary,1/3596,0.0278%
286,Breloom,1/3596,0.0278%
437,Bronzong,1/3596,0.0278%
779,Bruxish,1/3596,0.0278%
406,Budew,1/3596,0.0278%
12,Butterfree,1/3596,0.0278%
332,Cacturne,1/3596,0.0278%
323,Camerupt,1/3596,0.0278%
703,Carbink,1/3596,0.0278%
455,Carnivine,1/3596,0.0278%
565,Carracosta,1/3596,0.0278%
351,Castform,1/3596,0.0278%
851,Centiskorch,1/3596,0.0278%
609,Chandelure,1/3596,0.0278%
6,Charizard,1/3596,0.0278%
441,Chatot,1/3596,0.0278%
421,Cherrim,1/3596,0.0278%
652,Chesnaught,1/3596,0.0278%
358,Chimecho,1/3596,0.0278%
433,Chingling,1/3596,0.0278%
573,Cinccino,1/3596,0.0278%
815,Cinderace,1/3596,0.0278%
693,Clawitzer,1/3596,0.0278%
344,Claydol,1/3596,0.0278%
36,Clefable,1/3596,0.0278%
173,Cleffa,1/3596,0.0278%
91,Cloyster,1/3596,0.0278%
839,Coalossal,1/3596,0.0278%
563,Cofagrigus,1/3596,0.0278%
764,Comfey,1/3596,0.0278%
534,Conkeldurr,1/3596,0.0278%
879,Copperajah,1/3596,0.0278%
222,Corsola,1/3596,0.0278%
823,Corviknight,1/3596,0.0278%
740,Crabominable,1/3596,0.0278%
346,Cradily,1/3596,0.0278%
845,Cramorant,1/3596,0.0278%
342,Crawdaunt,1/3596,0.0278%
169,Crobat,1/3596,0.0278%
558,Crustle,1/3596,0.0278%
615,Cryogonal,1/3596,0.0278%
555,Darmanitan,1/3596,0.0278%
724,Decidueye,1/3596,0.0278%
702,Dedenne,1/3596,0.0278%
301,Delcatty,1/3596,0.0278%
225,Delibird,1/3596,0.0278%
655,Delphox,1/3596,0.0278%
87,Dewgong,1/3596,0.0278%
781,Dhelmise,1/3596,0.0278%
660,Diggersby,1/3596,0.0278%
1011,Dipplin,1/3596,0.0278%
132,Ditto,1/3596,0.0278%
85,Dodrio,1/3596,0.0278%
232,Donphan,1/3596,0.0278%
882,Dracovish,1/3596,0.0278%
880,Dracozolt,1/3596,0.0278%
691,Dragalge,1/3596,0.0278%
887,Dragapult,1/3596,0.0278%
780,Drampa,1/3596,0.0278%
452,Drapion,1/3596,0.0278%
834,Drednaw,1/3596,0.0278%
426,Drifblim,1/3596,0.0278%
621,Druddigon,1/3596,0.0278%
832,Dubwool,1/3596,0.0278%
51,Dugtrio,1/3596,0.0278%
206,Dunsparce,1/3596,0.0278%
884,Duraludon,1/3596,0.0278%
632,Durant,1/3596,0.0278%
477,Dusknoir,1/3596,0.0278%
269,Dustox,1/3596,0.0278%
10320,East Sea Gastrodon,1/3596,0.0278%
604,Eelektross,1/3596,0.0278%
875,Eiscue,1/3596,0.0278%
830,Eldegoss,1/3596,0.0278%
466,Electivire,1/3596,0.0278%
101,Electrode,1/3596,0.0278%
239,Elekid,1/3596,0.0278%
500,Emboar,1/3596,0.0278%
587,Emolga,1/3596,0.0278%
395,Empoleon,1/3596,0.0278%
589,Escavalier,1/3596,0.0278%
196,Espeon,1/3596,0.0278%
530,Excadrill,1/3596,0.0278%
103,Exeggutor,1/3596,0.0278%
295,Exploud,1/3596,0.0278%
870,Falinks,1/3596,0.0278%
10257,Family of Three Maushold,1/3596,0.0278%
83,Farfetch'd,1/3596,0.0278%
22,Fearow,1/3596,0.0278%
160,Feraligatr,1/3596,0.0278%
598,Ferrothorn,1/3596,0.0278%
841,Flapple,1/3596,0.0278%
136,Flareon,1/3596,0.0278%
419,Floatzel,1/3596,0.0278%
330,Flygon,1/3596,0.0278%
205,Forretress,1/3596,0.0278%
478,Froslass,1/3596,0.0278%
873,Frosmoth,1/3596,0.0278%
676,Furfrou,1/3596,0.0278%
162,Furret,1/3596,0.0278%
475,Gallade,1/3596,0.0278%
596,Galvantula,1/3596,0.0278%
569,Garbodor,1/3596,0.0278%
282,Gardevoir,1/3596,0.0278%
934,Garganacl,1/3596,0.0278%
423,Gastrodon,1/3596,0.0278%
94,Gengar,1/3596,0.0278%
526,Gigalith,1/3596,0.0278%
203,Girafarig,1/3596,0.0278%
471,Glaceon,1/3596,0.0278%
362,Glalie,1/3596,0.0278%
472,Gliscor,1/3596,0.0278%
673,Gogoat,1/3596,0.0278%
55,Golduck,1/3596,0.0278%
76,Golem,1/3596,0.0278%
768,Golisopod,1/3596,0.0278%
623,Golurk,1/3596,0.0278%
368,Gorebyss,1/3596,0.0278%
576,Gothitelle,1/3596,0.0278%
711,Gourgeist,1/3596,0.0278%
210,Granbull,1/3596,0.0278%
853,Grapploct,1/3596,0.0278%
820,Greedent,1/3596,0.0278%
658,Greninja,1/3596,0.0278%
861,Grimmsnarl,1/3596,0.0278%
326,Grumpig,1/3596,0.0278%
735,Gumshoos,1/3596,0.0278%
130,Gyarados,1/3596,0.0278%
440,Happiny,1/3596,0.0278%
297,Hariyama,1/3596,0.0278%
858,Hatterene,1/3596,0.0278%
701,Hawlucha,1/3596,0.0278%
612,Haxorus,1/3596,0.0278%
631,Heatmor,1/3596,0.0278%
695,Heliolisk,1/3596,0.0278%
214,Heracross,1/3596,0.0278%
10256,Hero Palafin,1/3596,0.0278%
450,Hippowdon,1/3596,0.0278%
107,Hitmonchan,1/3596,0.0278%
106,Hitmonlee,1/3596,0.0278%
237,Hitmontop,1/3596,0.0278%
430,Honchkrow,1/3596,0.0278%
229,Houndoom,1/3596,0.0278%
367,Huntail,1/3596,0.0278%
97,Hypno,1/3596,0.0278%
174,Igglybuff,1/3596,0.0278%
314,Illumise,1/3596,0.0278%
727,Incineroar,1/3596,0.0278%
876,Indeedee,1/3596,0.0278%
392,Infernape,1/3596,0.0278%
818,Inteleon,1/3596,0.0278%
593,Jellicent,1/3596,0.0278%
135,Jolteon,1/3596,0.0278%
189,Jumpluff,1/3596,0.0278%
124,Jynx,1/3596,0.0278%
141,Kabutops,1/3596,0.0278%
115,Kangaskhan,1/3596,0.0278%
352,Kecleon,1/3596,0.0278%
983,Kingambit,1/3596,0.0278%
230,Kingdra,1/3596,0.0278%
99,Kingler,1/3596,0.0278%
900,Kleavor,1/3596,0.0278%
707,Klefki,1/3596,0.0278%
601,Klinklang,1/3596,0.0278%
775,Komala,1/3596,0.0278%
402,Kricketune,1/3596,0.0278%
553,Krookodile,1/3596,0.0278%
171,Lanturn,1/3596,0.0278%
131,Lapras,1/3596,0.0278%
470,Leafeon,1/3596,0.0278%
542,Leavanny,1/3596,0.0278%
166,Ledian,1/3596,0.0278%
463,Lickilicky,1/3596,0.0278%
510,Liepard,1/3596,0.0278%
549,Lilligant,1/3596,0.0278%
264,Linoone,1/3596,0.0278%
428,Lopunny,1/3596,0.0278%
10178,Low Key Toxtricity,1/3596,0.0278%
448,Lucario,1/3596,0.0278%
272,Ludicolo,1/3596,0.0278%
457,Lumineon,1/3596,0.0278%
337,Lunatone,1/3596,0.0278%
754,Lurantis,1/3596,0.0278%
370,Luvdisc,1/3596,0.0278%
405,Luxray,1/3596,0.0278%
68,Machamp,1/3596,0.0278%
240,Magby,1/3596,0.0278%
219,Magcargo,1/3596,0.0278%
467,Magmortar,1/3596,0.0278%
462,Magnezone,1/3596,0.0278%
687,Malamar,1/3596,0.0278%
473,Mamoswine,1/3596,0.0278%
630,Mandibuzz,1/3596,0.0278%
310,Manectric,1/3596,0.0278%
226,Mantine,1/3596,0.0278%
458,Mantyke,1/3596,0.0278%
556,Maractus,1/3596,0.0278%
105,Marowak,1/3596,0.0278%
284,Masquerain,1/3596,0.0278%
303,Mawile,1/3596,0.0278%
308,Medicham,1/3596,0.0278%
154,Meganium,1/3596,0.0278%
908,Meowscarada,1/3596,0.0278%
678,Meowstic,1/3596,0.0278%
620,Mienshao,1/3596,0.0278%
262,Mightyena,1/3596,0.0278%
350,Milotic,1/3596,0.0278%
241,Miltank,1/3596,0.0278%
439,Mime Jr.,1/3596,0.0278%
