Dex,Pokemon,Chance,Chance percentage
778,Mimikyu,1/3596,0.0278%
774,Minior,1/3596,0.0278%
312,Minun,1/3596,0.0278%
429,Mismagius,1/3596,0.0278%
877,Morpeko,1/3596,0.0278%
414,Mothim,1/3596,0.0278%
122,Mr. Mime,1/3596,0.0278%
750,Mudsdale,1/3596,0.0278%
89,Muk,1/3596,0.0278%
446,Munchlax,1/3596,0.0278%
518,Musharna,1/3596,0.0278%
34,Nidoking,1/3596,0.0278%
31,Nidoqueen,1/3596,0.0278%
38,Ninetales,1/3596,0.0278%
291,Ninjask,1/3596,0.0278%
164,Noctowl,1/3596,0.0278%
715,Noivern,1/3596,0.0278%
224,Octillery,1/3596,0.0278%
139,Omastar,1/3596,0.0278%
765,Oranguru,1/3596,0.0278%
826,Orbeetle,1/3596,0.0278%
741,Oricorio,1/3596,0.0278%
10124,Pa'u Oricorio,1/3596,0.0278%
417,Pachirisu,1/3596,0.0278%
770,Palossand,1/3596,0.0278%
675,Pangoro,1/3596,0.0278%
47,Parasect,1/3596,0.0278%
766,Passimian,1/3596,0.0278%
923,Pawmot,1/3596,0.0278%
279,Pelipper,1/3596,0.0278%
53,Persian,1/3596,0.0278%
18,Pidgeot,1/3596,0.0278%
871,Pincurchin,1/3596,0.0278%
127,Pinsir,1/3596,0.0278%
311,Plusle,1/3596,0.0278%
186,Politoed,1/3596,0.0278%
62,Poliwrath,1/3596,0.0278%
1012,Poltchageist,1/3596,0.0278%
855,Polteageist,1/3596,0.0278%
10123,Pom-pom Oricorio,1/3596,0.0278%
474,Porygon-Z,1/3596,0.0278%
730,Primarina,1/3596,0.0278%
57,Primeape,1/3596,0.0278%
476,Probopass,1/3596,0.0278%
432,Purugly,1/3596,0.0278%
668,Pyroar,1/3596,0.0278%
771,Pyukumuku,1/3596,0.0278%
195,Quagsire,1/3596,0.0278%
914,Quaquaval,1/3596,0.0278%
211,Qwilfish,1/3596,0.0278%
26,Raichu,1/3596,0.0278%
10014,Rainy Castform,1/3596,0.0278%
409,Rampardos,1/3596,0.0278%
78,Rapidash,1/3596,0.0278%
369,Relicanth,1/3596,0.0278%
579,Reuniclus,1/3596,0.0278%
464,Rhyperior,1/3596,0.0278%
743,Ribombee,1/3596,0.0278%
812,Rillaboom,1/3596,0.0278%
407,Roserade,1/3596,0.0278%
302,Sableye,1/3596,0.0278%
758,Salazzle,1/3596,0.0278%
503,Samurott,1/3596,0.0278%
844,Sandaconda,1/3596,0.0278%
28,Sandslash,1/3596,0.0278%
10004,Sandy Wormadam,1/3596,0.0278%
539,Sawk,1/3596,0.0278%
586,Sawsbuck,1/3596,0.0278%
254,Sceptile,1/3596,0.0278%
212,Scizor,1/3596,0.0278%
545,Scolipede,1/3596,0.0278%
560,Scrafty,1/3596,0.0278%
119,Seaking,1/3596,0.0278%
537,Seismitoad,1/3596,0.0278%
10125,Sensu Oricorio,1/3596,0.0278%
497,Serperior,1/3596,0.0278%
336,Seviper,1/3596,0.0278%
319,Sharpedo,1/3596,0.0278%
292,Shedinja,1/3596,0.0278%
275,Shiftry,1/3596,0.0278%
756,Shiinotic,1/3596,0.0278%
213,Shuckle,1/3596,0.0278%
561,Sigilyph,1/3596,0.0278%
516,Simipour,1/3596,0.0278%
512,Simisage,1/3596,0.0278%
514,Simisear,1/3596,0.0278%
227,Skarmory,1/3596,0.0278%
911,Skeledirge,1/3596,0.0278%
435,Skuntank,1/3596,0.0278%
289,Slaking,1/3596,0.0278%
80,Slowbro,1/3596,0.0278%
199,Slowking,1/3596,0.0278%
685,Slurpuff,1/3596,0.0278%
235,Smeargle,1/3596,0.0278%
238,Smoochum,1/3596,0.0278%
143,Snorlax,1/3596,0.0278%
10015,Snowy Castform,1/3596,0.0278%
338,Solrock,1/3596,0.0278%
327,Spinda,1/3596,0.0278%
442,Spiritomb,1/3596,0.0278%
398,Staraptor,1/3596,0.0278%
121,Starmie,1/3596,0.0278%
208,Steelix,1/3596,0.0278%
874,Stonjourner,1/3596,0.0278%
508,Stoutland,1/3596,0.0278%
618,Stunfisk,1/3596,0.0278%
185,Sudowoodo,1/3596,0.0278%
10343,Summer Sawsbuck,1/3596,0.0278%
192,Sunflora,1/3596,0.0278%
10013,Sunny Castform,1/3596,0.0278%
10318,Sunshine Cherrim,1/3596,0.0278%
317,Swalot,1/3596,0.0278%
260,Swampert,1/3596,0.0278%
581,Swanna,1/3596,0.0278%
277,Swellow,1/3596,0.0278%
528,Swoobat,1/3596,0.0278%
700,Sylveon,1/3596,0.0278%
663,Talonflame,1/3596,0.0278%
465,Tangrowth,1/3596,0.0278%
128,Tauros,1/3596,0.0278%
73,Tentacruel,1/3596,0.0278%
828,Thievul,1/3596,0.0278%
10255,Three-Segment Dudunsparce,1/3596,0.0278%
538,Throh,1/3596,0.0278%
959,Tinkaton,1/3596,0.0278%
777,Togedemaru,1/3596,0.0278%
468,Togekiss,1/3596,0.0278%
324,Torkoal,1/3596,0.0278%
389,Torterra,1/3596,0.0278%
733,Toucannon,1/3596,0.0278%
748,Toxapex,1/3596,0.0278%
454,Toxicroak,1/3596,0.0278%
10005,Trash Wormadam,1/3596,0.0278%
709,Trevenant,1/3596,0.0278%
357,Tropius,1/3596,0.0278%
763,Tsareena,1/3596,0.0278%
776,Turtonator,1/3596,0.0278%
157,Typhlosion,1/3596,0.0278%
697,Tyrantrum,1/3596,0.0278%
197,Umbreon,1/3596,0.0278%
521,Unfezant,1/3596,0.0278%
901,Ursaluna,1/3596,0.0278%
584,Vanilluxe,1/3596,0.0278%
134,Vaporeon,1/3596,0.0278%
49,Venomoth,1/3596,0.0278%
3,Venusaur,1/3596,0.0278%
416,Vespiquen,1/3596,0.0278%
71,Victreebel,1/3596,0.0278%
738,Vikavolt,1/3596,0.0278%
45,Vileplume,1/3596,0.0278%
313,Volbeat,1/3596,0.0278%
637,Volcarona,1/3596,0.0278%
321,Wailord,1/3596,0.0278%
365,Walrein,1/3596,0.0278%
505,Watchog,1/3596,0.0278%
461,Weavile,1/3596,0.0278%
110,Weezing,1/3596,0.0278%
547,Whimsicott,1/3596,0.0278%
340,Whiscash,1/3596,0.0278%
10247,White-Striped Basculin,1/3596,0.0278%
40,Wigglytuff,1/3596,0.0278%
10345,Winter Sawsbuck,1/3596,0.0278%
746,Wishiwashi,1/3596,0.0278%
202,Wobbuffet,1/3596,0.0278%
413,Wormadam,1/3596,0.0278%
360,Wynaut,1/3596,0.0278%
899,Wyrdeer,1/3596,0.0278%
178,Xatu,1/3596,0.0278%
469,Yanmega,1/3596,0.0278%
335,Zangoose,1/3596,0.0278%
523,Zebstrika,1/3596,0.0278%
571,Zoroark,1/3596,0.0278%
10311,Blue Flower Floette,1/4483,0.0223%
670,Floette,1/4483,0.0223%
10310,Orange Flower Floette,1/4483,0.0223%
10312,White Flower Floette,1/4483,0.0223%
10309,Yellow Flower Floette,1/4483,0.0223%
149,Dragonite,1/5394,0.0185%
445,Garchomp,1/5394,0.0185%
706,Goodra,1/5394,0.0185%
635,Hydreigon,1/5394,0.0185%
784,Kommo-o,1/5394,0.0185%
376,Metagross,1/5394,0.0185%
373,Salamence,1/5394,0.0185%
10127,School Wishiwashi,1/5394,0.0185%
248,Tyranitar,1/5394,0.0185%
172,Pichu,1/7192,0.0139%
10317,Spiky-eared Pichu,1/7192,0.0139%
10105,Alolan Diglett,1/14384,0.007%
10109,Alolan Geodude,1/14384,0.007%
10112,Alolan Grimer,1/14384,0.007%
10107,Alolan Meowth,1/14384,0.007%
10100,Alolan Raichu,1/14384,0.007%
10091,Alolan Rattata,1/14384,0.007%
10101,Alolan Sandshrew,1/14384,0.007%
10103,Alolan Vulpix,1/14384,0.007%
1018,Archaludon,1/14384,0.007%
902,Basculegion,1/14384,0.007%
10026,Blade Aegislash,1/14384,0.007%
1016,Fezandipiti,1/14384,0.007%
10170,Galarian Corsola,1/14384,0.007%
10174,Galarian Darmanitan,1/14384,0.007%
10163,Galarian Farfetch'd,1/14384,0.007%
10172,Galarian Linoone,1/14384,0.007%
10158,Galarian Meowth,1/14384,0.007%
10159,Galarian Ponyta,1/14384,0.007%
10161,Galarian Slowpoke,1/14384,0.007%
10176,Galarian Yamask,1/14384,0.007%
10175,Galarian Zen Darmanitan,1/14384,0.007%
10245,Hangry Morpeko,1/14384,0.007%
10221,Hisuian Growlithe,1/14384,0.007%
10233,Hisuian Sliggoo,1/14384,0.007%
10227,Hisuian Sneasel,1/14384,0.007%
10223,Hisuian Voltorb,1/14384,0.007%
10230,Hisuian Zorua,1/14384,0.007%
1019,Hydrapple,1/14384,0.007%
1015,Munkidori,1/14384,0.007%
10179,Noice Face Eiscue,1/14384,0.007%
1014,Okidogi,1/14384,0.007%
10253,Paldean Wooper,1/14384,0.007%
10018,Pirouette Meloetta,1/14384,0.007%
1013,Sinistcha,1/14384,0.007%
903,Sneasler,1/14384,0.007%
10017,Zen Darmanitan,1/14384,0.007%
10329,Archipelago Vivillon,1/17261,0.0058%
10315,Blue Flower Florges,1/17261,0.0058%
10326,Elegant Vivillon,1/17261,0.0058%
671,Florges,1/17261,0.0058%
10328,Marine Vivillon,1/17261,0.0058%
10333,Monsoon Vivillon,1/17261,0.0058%
10314,Orange Flower Florges,1/17261,0.0058%
10322,Polar Vivillon,1/17261,0.0058%
10316,White Flower Florges,1/17261,0.0058%
10313,Yellow Flower Florges,1/17261,0.0058%
10011,Fan Rotom,1/21576,0.0046%
10010,Frost Rotom,1/21576,0.0046%
10008,Heat Rotom,1/21576,0.0046%
10012,Mow Rotom,1/21576,0.0046%
479,Rotom,1/21576,0.0046%
10009,Wash Rotom,1/21576,0.0046%
869,Alcremie,1/24658,0.0041%
10398,Vanilla Cream Berry Sweet Alcremie,1/24658,0.0041%
10425,Vanilla Cream Clover Sweet Alcremie,1/24658,0.0041%
10434,Vanilla Cream Flower Sweet Alcremie,1/24658,0.0041%
10407,Vanilla Cream Love Sweet Alcremie,1/24658,0.0041%
10443,Vanilla Cream Ribbon Sweet Alcremie,1/24658,0.0041%
10416,Vanilla Cream Star Sweet Alcremie,1/24658,0.0041%
10106,Alolan Dugtrio,1/28768,0.0035%
10114,Alolan Exeggutor,1/28768,0.0035%
10110,Alolan Graveler,1/28768,0.0035%
10115,Alolan Marowak,1/28768,0.0035%
10113,Alolan Muk,1/28768,0.0035%
10104,Alolan Ninetales,1/28768,0.0035%
10108,Alolan Persian,1/28768,0.0035%
10092,Alolan Raticate,1/28768,0.0035%
10102,Alolan Sandslash,1/28768,0.0035%
10252,Aqua Breed Tauros,1/28768,0.0035%
10001,Attack Deoxys,1/28768,0.0035%
10251,Blaze Breed Tauros,1/28768,0.0035%
251,Celebi,1/28768,0.0035%
10250,Combat Breed Tauros,1/28768,0.0035%
864,Cursola,1/28768,0.0035%
491,Darkrai,1/28768,0.0035%
10002,Defense Deoxys,1/28768,0.0035%
386,Deoxys,1/28768,0.0035%
719,Diancie,1/28768,0.0035%
10173,Galarian Darumaka,1/28768,0.0035%
10165,Galarian Mr. Mime,1/28768,0.0035%
10160,Galarian Rapidash,1/28768,0.0035%
10162,Galarian Slowbro,1/28768,0.0035%
10177,Galarian Stunfisk,1/28768,0.0035%
10164,Galarian Weezing,1/28768,0.0035%
10171,Galarian Zigzagoon,1/28768,0.0035%
10222,Hisuian Arcanine,1/28768,0.0035%
10235,Hisuian Avalugg,1/28768,0.0035%
10232,Hisuian Braviary,1/28768,0.0035%
10236,Hisuian Decidueye,1/28768,0.0035%
10224,Hisuian Electrode,1/28768,0.0035%
10234,Hisuian Goodra,1/28768,0.0035%
10229,Hisuian Lilligant,1/28768,0.0035%
10226,Hisuian Qwilfish,1/28768,0.0035%
10228,Hisuian Samurott,1/28768,0.0035%
10225,Hisuian Typhlosion,1/28768,0.0035%
10231,Hisuian Zoroark,1/28768,0.0035%
720,Hoopa,1/28768,0.0035%
385,Jirachi,1/28768,0.0035%
647,Keldeo,1/28768,0.0035%
801,Magearna,1/28768,0.0035%
490,Manaphy,1/28768,0.0035%
802,Marshadow,1/28768,0.0035%
809,Melmetal,1/28768,0.0035%
648,Meloetta,1/28768,0.0035%
808,Meltan,1/28768,0.0035%
151,Mew,1/28768,0.0035%
862,Obstagoon,1/28768,0.0035%
904,Overqwil,1/28768,0.0035%
1025,Pecharunt,1/28768,0.0035%
863,Perrserker,1/28768,0.0035%
489,Phione,1/28768,0.0035%
867,Runerigus,1/28768,0.0035%
492,Shaymin,1/28768,0.0035%
865,Sirfetch'd,1/28768,0.0035%
10003,Speed Deoxys,1/28768,0.0035%
494,Victini,1/28768,0.0035%
721,Volcanion,1/28768,0.0035%
893,Zarude,1/28768,0.0035%
807,Zeraora,1/28768,0.0035%
10405,Caramel Swirl Berry Sweet Alcremie,1/31383,0.0032%
10432,Caramel Swirl Clover Sweet Alcremie,1/31383,0.0032%
10441,Caramel Swirl Flower Sweet Alcremie,1/31383,0.0032%
10414,Caramel Swirl Love Sweet Alcremie,1/31383,0.0032%
10450,Caramel Swirl Ribbon Sweet Alcremie,1/31383,0.0032%
10423,Caramel Swirl Star Sweet Alcremie,1/31383,0.0032%
10396,Caramel Swirl Strawberry Sweet Alcremie,1/31383,0.0032%
10402,Lemon Cream Berry Sweet Alcremie,1/31383,0.0032%
10429,Lemon Cream Clover Sweet Alcremie,1/31383,0.0032%
10438,Lemon Cream Flower Sweet Alcremie,1/31383,0.0032%
10411,Lemon Cream Love Sweet Alcremie,1/31383,0.0032%
10447,Lemon Cream Ribbon Sweet Alcremie,1/31383,0.0032%
10420,Lemon Cream Star Sweet Alcremie,1/31383,0.0032%
10393,Lemon Cream Strawberry Sweet Alcremie,1/31383,0.0032%
10400,Matcha Cream Berry Sweet Alcremie,1/31383,0.0032%
10427,Matcha Cream Clover Sweet Alcremie,1/31383,0.0032%
10436,Matcha Cream Flower Sweet Alcremie,1/31383,0.0032%
10409,Matcha Cream Love Sweet Alcremie,1/31383,0.0032%
10445,Matcha Cream Ribbon Sweet Alcremie,1/31383,0.0032%
10418,Matcha Cream Star Sweet Alcremie,1/31383,0.0032%
10391,Matcha Cream Strawberry Sweet Alcremie,1/31383,0.0032%
10401,Mint Cream Berry Sweet Alcremie,1/31383,0.0032%
10428,Mint Cream Clover Sweet Alcremie,1/31383,0.0032%
10437,Mint Cream Flower Sweet Alcremie,1/31383,0.0032%
10410,Mint Cream Love Sweet Alcremie,1/31383,0.0032%
10446,Mint Cream Ribbon Sweet Alcremie,1/31383,0.0032%
10419,Mint Cream Star Sweet Alcremie,1/31383,0.0032%
10392,Mint Cream Strawberry Sweet Alcremie,1/31383,0.0032%
10406,Rainbow Swirl Berry Sweet Alcremie,1/31383,0.0032%
10433,Rainbow Swirl Clover Sweet Alcremie,1/31383,0.0032%
10442,Rainbow Swirl Flower Sweet Alcremie,1/31383,0.0032%
10415,Rainbow Swirl Love Sweet Alcremie,1/31383,0.0032%
10451,Rainbow Swirl Ribbon Sweet Alcremie,1/31383,0.0032%
10424,Rainbow Swirl Star Sweet Alcremie,1/31383,0.0032%
10397,Rainbow Swirl Strawberry Sweet Alcremie,1/31383,0.0032%
10399,Ruby Cream Berry Sweet Alcremie,1/31383,0.0032%
10426,Ruby Cream Clover Sweet Alcremie,1/31383,0.0032%
10435,Ruby Cream Flower Sweet Alcremie,1/31383,0.0032%
10408,Ruby Cream Love Sweet Alcremie,1/31383,0.0032%
10444,Ruby Cream Ribbon Sweet Alcremie,1/31383,0.0032%
10417,Ruby Cream Star Sweet Alcremie,1/31383,0.0032%
10390,Ruby Cream Strawberry Sweet Alcremie,1/31383,0.0032%
10404,Ruby Swirl Berry Sweet Alcremie,1/31383,0.0032%
10431,Ruby Swirl Clover Sweet Alcremie,1/31383,0.0032%
10440,Ruby Swirl Flower Sweet Alcremie,1/31383,0.0032%
10413,Ruby Swirl Love Sweet Alcremie,1/31383,0.0032%
10449,Ruby Swirl Ribbon Sweet Alcremie,1/31383,0.0032%
10422,Ruby Swirl Star Sweet Alcremie,1/31383,0.0032%
10395,Ruby Swirl Strawberry Sweet Alcremie,1/31383,0.0032%
10403,Salted Cream Berry Sweet Alcremie,1/31383,0.0032%
10430,Salted Cream Clover Sweet Alcremie,1/31383,0.0032%
10439,Salted Cream Flower Sweet Alcremie,1/31383,0.0032%
10412,Salted Cream Love Sweet Alcremie,1/31383,0.0032%
10448,Salted Cream Ribbon Sweet Alcremie,1/31383,0.0032%
10421,Salted Cream Star Sweet Alcremie,1/31383,0.0032%
10394,Salted Cream Strawberry Sweet Alcremie,1/31383,0.0032%
10246,Dada Zarude,1/34522,0.0029%
10386,Dandy Trim Furfrou,1/34522,0.0029%
10384,Debutante Trim Furfrou,1/34522,0.0029%
10383,Diamond Trim Furfrou,1/34522,0.0029%
10244,Gorging Cramorant,1/34522,0.0029%
10243,Gulping Cramorant,1/34522,0.0029%
10381,Heart Trim Furfrou,1/34522,0.0029%
10388,Kabuki Trim Furfrou,1/34522,0.0029%
10387,La Reine Trim Furfrou,1/34522,0.0029%
10385,Matron Trim Furfrou,1/34522,0.0029%
10389,Pharaoh Trim Furfrou,1/34522,0.0029%
10382,Star Trim Furfrou,1/34522,0.0029%
20002,Zenith Marshadow,1/34522,0.0029%
20000,Zygarde Cell,1/34522,0.0029%
20001,Zygarde Core,1/34522,0.0029%
986,Brute Bonnet,1/43152,0.0023%
10324,Continental Vivillon,1/43152,0.0023%
987,Flutter Mane,1/43152,0.0023%
10325,Garden Vivillon,1/43152,0.0023%
1020,Gouging Fire,1/43152,0.0023%
984,Great Tusk,1/43152,0.0023%
10330,High Plain Vivillon,1/43152,0.0023%
10321,Icy Snow Vivillon,1/43152,0.0023%
1022,Iron Boulder,1/43152,0.0023%
991,Iron Bundle,1/43152,0.0023%
1023,Iron Crown,1/43152,0.0023%
992,Iron Hands,1/43152,0.0023%
993,Iron Jugulis,1/43152,0.0023%
1010,Iron Leaves,1/43152,0.0023%
994,Iron Moth,1/43152,0.0023%
995,Iron Thorns,1/43152,0.0023%
990,Iron Treads,1/43152,0.0023%
1006,Iron Valiant,1/43152,0.0023%
10337,Jungle Vivillon,1/43152,0.0023%
10327,Modern Vivillon,1/43152,0.0023%
10336,Ocean Vivillon,1/43152,0.0023%
1021,Raging Bolt,1/43152,0.0023%
10332,River Vivillon,1/43152,0.0023%
1005,Roaring Moon,1/43152,0.0023%
20008,Rotom Drone,1/43152,0.0023%
20007,Rotom Phone,1/43152,0.0023%
20006,Rotom Pokédex,1/43152,0.0023%
10331,Sandstorm Vivillon,1/43152,0.0023%
989,Sandy Shocks,1/43152,0.0023%
10334,Savanna Vivillon,1/43152,0.0023%
985,Scream Tail,1/43152,0.0023%
988,Slither Wing,1/43152,0.0023%
10335,Sun Vivillon,1/43152,0.0023%
10323,Tundra Vivillon,1/43152,0.0023%
666,Vivillon,1/43152,0.0023%
1009,Walking Wake,1/43152,0.0023%
10118,10% Zygarde,1/57536,0.0017%
10111,Alolan Golem,1/57536,0.0017%
144,Articuno,1/57536,0.0017%
482,Azelf,1/57536,0.0017%
10272,Bloodmoon Ursaluna,1/57536,0.0017%
898,Calyrex,1/57536,0.0017%
1004,Chi-Yu,1/57536,0.0017%
1002,Chien-Pao,1/57536,0.0017%
638,Cobalion,1/57536,0.0017%
10120,Complete Zygarde,1/57536,0.0017%
10275,Cornerstone Mask Ogerpon,1/57536,0.0017%
790,Cosmoem,1/57536,0.0017%
789,Cosmog,1/57536,0.0017%
488,Cresselia,1/57536,0.0017%
483,Dialga,1/57536,0.0017%
905,Enamorus,1/57536,0.0017%
244,Entei,1/57536,0.0017%
890,Eternatus,1/57536,0.0017%
10169,Galarian Slowking,1/57536,0.0017%
649,Genesect,1/57536,0.0017%
487,Giratina,1/57536,0.0017%
896,Glastrier,1/57536,0.0017%
383,Groudon,1/57536,0.0017%
10274,Hearthflame Mask Ogerpon,1/57536,0.0017%
485,Heatran,1/57536,0.0017%
20005,High-speed Flight Configuration Genesect,1/57536,0.0017%
250,Ho-Oh,1/57536,0.0017%
891,Kubfu,1/57536,0.0017%
382,Kyogre,1/57536,0.0017%
646,Kyurem,1/57536,0.0017%
645,Landorus,1/57536,0.0017%
380,Latias,1/57536,0.0017%
381,Latios,1/57536,0.0017%
249,Lugia,1/57536,0.0017%
792,Lunala,1/57536,0.0017%
481,Mesprit,1/57536,0.0017%
150,Mewtwo,1/57536,0.0017%
146,Moltres,1/57536,0.0017%
866,Mr. Rime,1/57536,0.0017%
800,Necrozma,1/57536,0.0017%
1017,Ogerpon,1/57536,0.0017%
484,Palkia,1/57536,0.0017%
243,Raikou,1/57536,0.0017%
10183,Rapid Strike Urshifu,1/57536,0.0017%
384,Rayquaza,1/57536,0.0017%
378,Regice,1/57536,0.0017%
895,Regidrago,1/57536,0.0017%
894,Regieleki,1/57536,0.0017%
486,Regigigas,1/57536,0.0017%
377,Regirock,1/57536,0.0017%
379,Registeel,1/57536,0.0017%
643,Reshiram,1/57536,0.0017%
791,Solgaleo,1/57536,0.0017%
897,Spectrier,1/57536,0.0017%
245,Suicune,1/57536,0.0017%
787,Tapu Bulu,1/57536,0.0017%
788,Tapu Fini,1/57536,0.0017%
785,Tapu Koko,1/57536,0.0017%
786,Tapu Lele,1/57536,0.0017%
1024,Terapagos,1/57536,0.0017%
10276,Terastal Terapagos,1/57536,0.0017%
639,Terrakion,1/57536,0.0017%
642,Thundurus,1/57536,0.0017%
1003,Ting-Lu,1/57536,0.0017%
641,Tornadus,1/57536,0.0017%
772,Type: Null,1/57536,0.0017%
892,Urshifu,1/57536,0.0017%
480,Uxie,1/57536,0.0017%
640,Virizion,1/57536,0.0017%
10273,Wellspring Mask Ogerpon,1/57536,0.0017%
1001,Wo-Chien,1/57536,0.0017%
717,Yveltal,1/57536,0.0017%
888,Zacian,1/57536,0.0017%
889,Zamazenta,1/57536,0.0017%
145,Zapdos,1/57536,0.0017%
644,Zekrom,1/57536,0.0017%
718,Zygarde,1/57536,0.0017%
10240,Partner Eevee,1/69043,0.0014%
10239,Partner Pikachu,1/69043,0.0014%
201,Unown,1/86304,0.0012%
10278,Unown A,1/86304,0.0012%
10279,Unown B,1/86304,0.0012%
10280,Unown C,1/86304,0.0012%
10281,Unown D,1/86304,0.0012%
10282,Unown E,1/86304,0.0012%
10303,Unown Exclamation,1/86304,0.0012%
10283,Unown G,1/86304,0.0012%
10284,Unown H,1/86304,0.0012%
10285,Unown I,1/86304,0.0012%
10286,Unown J,1/86304,0.0012%
10287,Unown K,1/86304,0.0012%
10288,Unown L,1/86304,0.0012%
10289,Unown M,1/86304,0.0012%
10290,Unown N,1/86304,0.0012%
10291,Unown O,1/86304,0.0012%
10292,Unown P,1/86304,0.0012%
10293,Unown Q,1/86304,0.0012%
10304,Unown Question,1/86304,0.0012%
10294,Unown R,1/86304,0.0012%
10295,Unown S,1/86304,0.0012%
10296,Unown T,1/86304,0.0012%
10297,Unown U,1/86304,0.0012%
10298,Unown V,1/86304,0.0012%
10299,Unown W,1/86304,0.0012%
10300,Unown X,1/86304,0.0012%
10301,Unown Y,1/86304,0.0012%
10302,Unown Z,1/86304,0.0012%
806,Blacephalon,1/115072,0.0009%
794,Buzzwole,1/115072,0.0009%
797,Celesteela,1/115072,0.0009%
10338,Fancy Vivillon,1/115072,0.0009%
799,Guzzlord,1/115072,0.0009%
798,Kartana,1/115072,0.0009%
804,Naganadel,1/115072,0.0009%
10346,Neutral Xerneas,1/115072,0.0009%
793,Nihilego,1/115072,0.0009%
795,Pheromosa,1/115072,0.0009%
803,Poipole,1/115072,0.0009%
10339,Poké Ball Vivillon,1/115072,0.0009%
805,Stakataka,1/115072,0.0009%
716,Xerneas,1/115072,0.0009%
796,Xurkitree,1/115072,0.0009%
10269,Drive Mode Miraidon,1/172608,0.0006%
10166,Galarian Articuno,1/172608,0.0006%
10168,Galarian Moltres,1/172608,0.0006%
10167,Galarian Zapdos,1/172608,0.0006%
10271,Glide Mode Miraidon,1/172608,0.0006%
10267,Gliding Build Koraidon,1/172608,0.0006%
1007,Koraidon,1/172608,0.0006%
1008,Miraidon,1/172608,0.0006%
10265,Sprinting Build Koraidon,1/172608,0.0006%
493,Arceus,1/345217,0.0003%
10347,Bug Arceus,1/345217,0.0003%
10364,Bug Silvally,1/345217,0.0003%
10348,Dark Arceus,1/345217,0.0003%
10365,Dark Silvally,1/345217,0.0003%
10349,Dragon Arceus,1/345217,0.0003%
10366,Dragon Silvally,1/345217,0.0003%
10350,Electric Arceus,1/345217,0.0003%
10367,Electric Silvally,1/345217,0.0003%
10363,Fairy Arceus,1/345217,0.0003%
10380,Fairy Silvally,1/345217,0.0003%
10351,Fighting Arceus,1/345217,0.0003%
10368,Fighting Silvally,1/345217,0.0003%
10352,Fire Arceus,1/345217,0.0003%
10369,Fire Silvally,1/345217,0.0003%
10353,Flying Arceus,1/345217,0.0003%
10370,Flying Silvally,1/345217,0.0003%
10354,Ghost Arceus,1/345217,0.0003%
10371,Ghost Silvally,1/345217,0.0003%
10355,Grass Arceus,1/345217,0.0003%
10372,Grass Silvally,1/345217,0.0003%
10356,Ground Arceus,1/345217,0.0003%
10373,Ground Silvally,1/345217,0.0003%
10357,Ice Arceus,1/345217,0.0003%
10374,Ice Silvally,1/345217,0.0003%
0,MissingNo.,1/345217,0.0003%
10358,Poison Arceus,1/345217,0.0003%
10375,Poison Silvally,1/345217,0.0003%
10359,Psychic Arceus,1/345217,0.0003%
10376,Psychic Silvally,1/345217,0.0003%
10360,Rock Arceus,1/345217,0.0003%
10377,Rock Silvally,1/345217,0.0003%
773,Silvally,1/345217,0.0003%
10361,Steel Arceus,1/345217,0.0003%
10378,Steel Silvally,1/345217,0.0003%
10362,Water Arceus,1/345217,0.0003%
10379,Water Silvally,1/345217,0.0003%
